Vd,Current
-5,-0.000570067
-4.9,-0.0005531667
-4.800000000000001,-0.0005399354
-4.700000000000001,-0.0005276867
-4.600000000000001,-0.0005152181
-4.500000000000002,-0.0005030659
-4.400000000000002,-0.0004906345
-4.3000000000000025,-0.0004785527
-4.200000000000003,-0.0004664875
-4.100000000000003,-0.0004546701
-4.0000000000000036,-0.0004431441
-3.9000000000000035,-0.0004312741
-3.8000000000000034,-0.0004194078
-3.7000000000000033,-0.0004074562
-3.600000000000003,-0.0003961294
-3.500000000000003,-0.0003843601
-3.400000000000003,-0.0003727068
-3.300000000000003,-0.0003610493
-3.200000000000003,-0.0003497223
-3.1000000000000028,-0.0003382421
-3.0000000000000027,-0.0003266167
-2.9000000000000026,-0.0003154174
-2.8000000000000025,-0.0003038927
-2.7000000000000024,-0.0002928676
-2.6000000000000023,-0.000281404
-2.500000000000002,-0.0002700732
-2.400000000000002,-0.0002590714
-2.300000000000002,-0.0002477112
-2.200000000000002,-0.0002364402
-2.100000000000002,-0.000225522
-2.0000000000000018,-0.000214367
-1.9000000000000017,-0.000203363
-1.8000000000000016,-0.0001922133
-1.7000000000000015,-0.0001812674
-1.6000000000000014,-0.0001702924
-1.5000000000000013,-0.0001594381
-1.4000000000000012,-0.0001485258
-1.3000000000000012,-0.0001376071
-1.200000000000001,-0.0001267183
-1.100000000000001,-0.0001160157
-1.0000000000000009,-0.0001052778
-0.9000000000000009,-9.457069e-05
-0.8000000000000009,-8.389965e-05
-0.700000000000001,-7.327418e-05
-0.600000000000001,-6.267551e-05
-0.500000000000001,-5.214699e-05
-0.400000000000001,-4.162326e-05
-0.30000000000000104,-3.110711e-05
-0.20000000000000104,-2.069929e-05
-0.10000000000000103,-1.030214e-05
-1.0269562977782698e-15,3.379438e-08
0.09999999999999898,1.039982e-05
0.19999999999999898,2.062932e-05
0.299999999999999,3.087972e-05
0.399999999999999,4.11036e-05
0.499999999999999,5.127342e-05
0.599999999999999,6.150917e-05
0.699999999999999,7.165896e-05
0.7999999999999989,8.179904e-05
0.8999999999999989,9.206036e-05
0.9999999999999989,0.0001022053
1.099999999999999,0.000112264
1.199999999999999,0.0001223435
1.2999999999999992,0.0001326024
1.3999999999999992,0.000142798
1.4999999999999993,0.0001531262
1.5999999999999994,0.0001630128
1.6999999999999995,0.0001732042
1.7999999999999996,0.0001832398
1.8999999999999997,0.0001935569
1.9999999999999998,0.0002039028
2.0999999999999996,0.0002139898
2.1999999999999997,0.0002243848
2.3,0.0002347404
2.4,0.0002451895
2.5,0.0002553152
2.6,0.0002656904
2.7,0.0002759008
2.8000000000000003,0.0002861583
2.9000000000000004,0.0002968491
3.0000000000000004,0.0003071011
3.1000000000000005,0.0003173115
3.2000000000000006,0.0003279725
3.3000000000000007,0.0003381736
3.400000000000001,0.000348863
3.500000000000001,0.000359072
3.600000000000001,0.0003697889
3.700000000000001,0.0003804231
3.800000000000001,0.0003912431
3.9000000000000012,0.0004015711
4.000000000000001,0.0004125968
4.1000000000000005,0.0004231932
4.2,0.0004340241
4.3,0.0004448552
4.3999999999999995,0.0004556357
4.499999999999999,0.0004659479
4.599999999999999,0.00047695
4.699999999999998,0.000487795
4.799999999999998,0.0004990101
4.899999999999998,0.0005099085
4.999999999999997,0.0005210228
